Drug_Name,Interactions
Nicotine,"Phenobarbital, Adenosine, Amiodarone, Tranylcypromine, Rifampicin, Pentobarbital, Disulfiram, Hydroxyprogesterone caproate, Cyproterone acetate, Varenicline, Amobarbital, Ketoconazole, Letrozole, Secobarbital, Methoxsalen, Isoniazid, Cimetidine"
[3H]nicotine,"Phenobarbital, Adenosine, Amiodarone, Tranylcypromine, Rifampicin, Pentobarbital, Disulfiram, Hydroxyprogesterone caproate, Cyproterone acetate, Varenicline, Amobarbital, Ketoconazole, Letrozole, Secobarbital, Methoxsalen, Isoniazid, Cimetidine"
Cevimeline,"Tacrine, Cimetropium, Nadolol"
Lorazepam,"Tasimelteon, Atropine, Ropinirole, Azelastine, Ziconotide, Chlorpromazine, Methotrimeprazine, Levetiracetam, Clonidine, Triprolidine, Dantrolene, Desipramine, Nitrazepam, Ethosuximide, Temazepam, Promethazine, Trifluoperazine, Thalidomide, Clemastine, Olanzapine, Clofedanol, Asenapine, Levodopa, Methocarbamol, Stiripentol, Diphenoxylate, Isoflurane, Carisoprodol, Levorphanol, Phenytoin, Reserpine, Tramadol, Methsuximide, Eszopiclone, Buspirone, Brimonidine, Difenoxin, Clorazepic acid, Haloperidol, Carbinoxamine, Flibanserin, Quetiapine, Gabapentin, Secobarbital, Desflurane, Escitalopram, Sodium oxybate, Brexpiprazole, Pizotifen, Dihydrocodeine, Theophylline, Metyrosine, Guanfacine, Nortriptyline, Perampanel, Imipramine, Dexchlorpheniramine maleate, Zopiclone, Codeine, Valproic acid, Sertraline, Butorphanol, Clobazam, Doxylamine, Scopolamine, Pimozide, Ethanol, Ezogabine, Sevoflurane, Magnesium sulfate, Levocetirizine, Minocycline, Amobarbital, Lamotrigine, Nabilone, Clonazepam, Morphine, Zuclopenthixol, Alfentanil, Dexbrompheniramine, Fluticasone propionate, Pentazocine, Felbamate, Carbamazepine, Fexofenadine, Clidinium, Teduglutide, Bromazepam, Doxepin, Olopatadine, Pomalidomide, Meprobamate, Cyproheptadine, Desloratadine, Buprenorphine, Thiothixene, Perphenazine, Chlorpheniramine, Dyphylline, Ethotoin, Pregabalin, Carbidopa, Fluphenazine, Fentanyl, Loratadine, Hydrocodone, Protriptyline, Nalbuphine, Phenobarbital, Tetrabenazine, Loxapine, Tiagabine, Estazolam, Zaleplon, Suvorexant, Hydroxyzine, Methadone, Orphenadrine, Acetylsalicylic acid, Promazine, Tapentadol, Hydromorphone, Paraldehyde, Flupentixol, Lurasidone, Ketamine, Methohexital, Midazolam, Zolpidem, Oxymorphone, Flurazepam, Primidone, Droperidol, Vilazodone, Cetirizine, Fluoxetine, Butylscopolamine, Rufinamide, Risperidone, Probenecid, Acetaminophen, Brompheniramine, Flunarizine, Butabarbital, Diphenhydramine, Vortioxetine, Maprotiline, Mirtazapine, Meclizine, Amitriptyline, Ziprasidone, Paliperidone, Yohimbine, Alprazolam, Iloperidone, Topiramate, Clozapine, Fosphenytoin, Oxazepam, Pramipexole, Cyclobenzaprine, Oxycodone, Paroxetine, Ramelteon, Prochlorperazine, Meperidine, Aminophylline, Tolcapone, Trimipramine, Cyclizine, Sufentanil, Propofol, Tizanidine, Clomipramine, Nitrous oxide, Butalbital, Triazolam, Quazepam, Chlorzoxazone, gamma-Hydroxybutyric acid, Pentobarbital, Thioridazine, Caffeine, Vigabatrin, Gabapentin enacarbil, Remifentanil, Entacapone, Zonisamide, Efavirenz, Dronabinol, Citalopram, Amoxapine, Dimenhydrinate, Rotigotine, Diazepam, Pipotiazine, Aripiprazole, Metaxalone, Chlordiazepoxide"
Esmolol,"Methohexital, Dexmedetomidine, Primidone, Vardenafil, Disopyramide, Hexobarbital, Pirbuterol, Tadalafil, Clonidine, Bupivacaine, Lacosamide, Quinine, Lucinactant, Metoprolol, Bendroflumethiazide, Nifedipine, Labetalol, Risperidone, Alfuzosin, Acebutolol, Propafenone, Lidocaine, Sufentanil, Sotalol, Acetylcholine, Penbutolol, Prazosin, Amiodarone, Calfactant, Midodrine, Carvedilol, Ruxolitinib, Yohimbine, Lanreotide, Salbutamol, Vilanterol, Guanfacine, Rivastigmine, Fenoterol, Molsidomine, Dronedarone, Fluticasone propionate, Bretylium, Brimonidine, Timolol, Propranolol, Tacrine, Regorafenib, Nebivolol, Digoxin, Ipratropium, Dyphylline, Levobunolol, Floctafenine, Heptabarbital, Orciprenaline, Mepivacaine, Methacholine, Butobarbital, Atenolol, Pindolol, Chlorpropamide, Phenelzine, Ivabradine, Nadolol, Moxonidine, Dipivefrin, Butabarbital, Chloroquine, Duloxetine, Aminophylline, Salmeterol, Obinutuzumab, Metipranolol, Formoterol, Levodopa, Methylphenidate, Reserpine, Bisoprolol, Terbutaline, Olodaterol, Ceritinib, Secobarbital, Betaxolol, Tofacitinib, Diazoxide, Cabergoline, Verapamil, Methyldopa, Pasireotide, Carbamoylcholine, Dipyridamole, Amifostine, Fingolimod, Donepezil, Tranylcypromine, Tizanidine, Pentoxifylline, Pentobarbital, Nicorandil, Arformoterol, Crizotinib, Treprostinil, Carteolol, Poractant alfa, Diltiazem, Theophylline, Galantamine, Acepromazine, Beractant, Indacaterol"
Bortezomib,"Stiripentol, Esomeprazole, Primaquine, Teriflunomide, St. John's Wort, Pentamidine, Ofloxacin, Metamizole, Mitotane, Mexiletine, Propranolol, Escitalopram, Cimetidine, Desogestrel, Dihydrocodeine, Mirtazapine, Ticlopidine, Cilostazol, Ethinylestradiol, Nefazodone, Phenytoin, Clozapine, Carisoprodol, Dabrafenib, Ceritinib, Betaxolol, Ritonavir, Pimozide, Chloramphenicol, Methoxsalen, Darunavir, Cyproterone acetate, Mifepristone, Citalopram, Armodafinil, Luliconazole, Moclobemide, Pantoprazole, Clobazam, Theophylline, Tasimelteon, Cobicistat, Fluconazole, Posaconazole, Clomipramine, Diazepam, Bosentan, Itraconazole, Dofetilide, Nelfinavir, Asenapine, Trifluoperazine, Clarithromycin, Rifabutin, Sertraline, Abiraterone, Bromazepam, Acenocoumarol, Olanzapine, Ropivacaine, Alosetron, Aminophylline, Methsuximide, Ramelteon, Bexarotene, Atazanavir, Enzalutamide, Etravirine, Indinavir, Duloxetine, Phenobarbital, Gemfibrozil, Cyclobenzaprine, Isoniazid, Ethynodiol diacetate, Modafinil, Carbamazepine, Acetaminophen, Isometheptene, Deferasirox, Voriconazole, Eslicarbazepine acetate, Vemurafenib, Thiothixene, Telithromycin, Tocilizumab, Rifampicin, Siltuximab, Caffeine, Rifapentine, Omeprazole, Ropinirole, Trimipramine, Telaprevir, Nilutamide, Aripiprazole, Saquinavir, Lopinavir, Tizanidine, Lidocaine, Primidone, Osimertinib, Flutamide, Efavirenz, Fosphenytoin, Boceprevir, Rasagiline, Tranylcypromine, Clopidogrel, Imipramine, Dacarbazine, Ciprofloxacin, Ketoconazole, Delavirdine, Acetylsalicylic acid, Fluoxetine, Nicardipine, Butalbital, Idelalisib, Pomalidomide"
PS-341,"Stiripentol, Esomeprazole, Primaquine, Teriflunomide, St. John's Wort, Pentamidine, Ofloxacin, Metamizole, Mitotane, Mexiletine, Propranolol, Escitalopram, Cimetidine, Desogestrel, Dihydrocodeine, Mirtazapine, Ticlopidine, Cilostazol, Ethinylestradiol, Nefazodone, Phenytoin, Clozapine, Carisoprodol, Dabrafenib, Ceritinib, Betaxolol, Ritonavir, Pimozide, Chloramphenicol, Methoxsalen, Darunavir, Cyproterone acetate, Mifepristone, Citalopram, Armodafinil, Luliconazole, Moclobemide, Pantoprazole, Clobazam, Theophylline, Tasimelteon, Cobicistat, Fluconazole, Posaconazole, Clomipramine, Diazepam, Bosentan, Itraconazole, Dofetilide, Nelfinavir, Asenapine, Trifluoperazine, Clarithromycin, Rifabutin, Sertraline, Abiraterone, Bromazepam, Acenocoumarol, Olanzapine, Ropivacaine, Alosetron, Aminophylline, Methsuximide, Ramelteon, Bexarotene, Atazanavir, Enzalutamide, Etravirine, Indinavir, Duloxetine, Phenobarbital, Gemfibrozil, Cyclobenzaprine, Isoniazid, Ethynodiol diacetate, Modafinil, Carbamazepine, Acetaminophen, Isometheptene, Deferasirox, Voriconazole, Eslicarbazepine acetate, Vemurafenib, Thiothixene, Telithromycin, Tocilizumab, Rifampicin, Siltuximab, Caffeine, Rifapentine, Omeprazole, Ropinirole, Trimipramine, Telaprevir, Nilutamide, Aripiprazole, Saquinavir, Lopinavir, Tizanidine, Lidocaine, Primidone, Osimertinib, Flutamide, Efavirenz, Fosphenytoin, Boceprevir, Rasagiline, Tranylcypromine, Clopidogrel, Imipramine, Dacarbazine, Ciprofloxacin, Ketoconazole, Delavirdine, Acetylsalicylic acid, Fluoxetine, Nicardipine, Butalbital, Idelalisib, Pomalidomide"
Carbidopa,"Droxidopa, Loxapine, Iron Dextran, Brimonidine, Azelastine, Ziprasidone, Tranylcypromine, Diethylstilbestrol, Ethanol, Paroxetine, Phenelzine"
Phentermine,"Morphine, Prochlorperazine, Pheniramine, Promazine, Thiothixene, Sertindole, Remoxipride, Fluticasone propionate, Isoprenaline, Aluminum hydroxide, Benzquinamide, Dobutamine, Haloperidol, Ethoxzolamide, Phenmetrazine, Dextroamphetamine, Nabilone, Phenylpropanolamine, Atomoxetine, Clenbuterol, Mephentermine, Iobenguane, Ondansetron, Acetaminophen, Norepinephrine, Flupentixol, Ethanol, Dronabinol, Chlormezanone, Magnesium oxide, Metamfetamine, Clozapine, Pirbuterol, Amisulpride, Reserpine, Molindone, Formoterol, Quetiapine, Acepromazine, Dyphylline, Fluphenazine, Dihydrocodeine, Phenytoin, Ephedrine, Doxapram, Acetophenazine, Droperidol, Amitriptyline, Loxapine, Acetazolamide, Dopamine, Ioflupane I-123, Vilanterol, Acebutolol, Articaine, Sulpiride, Midodrine, Salmeterol, Calcium acetate, Triprolidine, Aminophylline, Indacaterol, Phenelzine, Cocaine, Fluspirilene, Diethylpropion, Methylphenidate, Calcium carbonate, Doxofylline, Chlorpromazine, Naphazoline, Mepivacaine, Linezolid, Ammonium chloride, Dexmethylphenidate, Terbutaline, Ritodrine, Tranylcypromine, Theophylline, Phenylephrine, Methotrimeprazine, Epinephrine, Perphenazine, Levonordefrin, Butalbital, Isometheptene, Chlorphentermine, Lisdexamfetamine, Labetalol, Mesoridazine, Dipivefrin, Pimozide, Propylhexedrine, Paliperidone, Zuclopenthixol, Fenoterol, Arformoterol, Pseudoephedrine, Ipratropium, Armodafinil, Modafinil, Oxymetazoline, Salbutamol, Racepinephrine, Trifluoperazine, Aripiprazole, Phenobarbital, Methoxamine, Triflupromazine, Carphenazine, Metaraminol, Olanzapine, Fencamfamin, Ethosuximide, Phendimetrazine, Brompheniramine, Acetylsalicylic acid, Caffeine, Diclofenamide, Tedizolid phosphate, Risperidone, Thioridazine, Orciprenaline, Olodaterol, Chlorprothixene, Benzphetamine, Methenamine, Ziprasidone, Lithium cation"
Tramadol,"Telaprevir, Protriptyline, Fentanyl, Perphenazine, Darunavir, Amiloride, Dabrafenib, Chlorthalidone, Brimonidine, Nelfinavir, Bosentan, Darifenacin, Pimozide, Prochlorperazine, Thioridazine, Aripiprazole, Loxapine, Eletriptan, Saquinavir, Paroxetine, Nilotinib, Methotrimeprazine, Cabergoline, Ziprasidone, Duloxetine, Rotigotine, Hydrocodone, Stiripentol, Indapamide, Trichlormethiazide, Zolpidem, Sertindole, Desipramine, Fencamfamin, Ergotamine, Ammonium chloride, Hydroxyzine, Perampanel, Molindone, Clobazam, Chlorprothixene, Suvorexant, Siltuximab, Furosemide, Ondansetron, Fluoxetine, Clarithromycin, Terbinafine, Fluphenazine, Cyclothiazide, Ritonavir, Ergometrine, Nabilone, Ramosetron, Risperidone, Linezolid, Benzquinamide, Haloperidol, Almotriptan, Quinidine, Trifluoperazine, Azelastine, Phenelzine, Rolapitant, Zuclopenthixol, Dronedarone, Venlafaxine, Methadone, Dihydroergotamine, Deferasirox, Zolmitriptan, Succinylcholine, Moclobemide, Ticlopidine, Delavirdine, Cyclobenzaprine, Mirtazapine, Fluspirilene, Flupentixol, Isoniazid, Naltrexone, Brexpiprazole, Netupitant, Tapentadol, Alvimopan, Promazine, Bendroflumethiazide, Orphenadrine, Diphenhydramine, Naratriptan, Telithromycin, Procarbazine, Carphenazine, Metoclopramide, Dextromethorphan, Imipramine, Alosetron, St. John's Wort, Atazanavir, Milnacipran, Trazodone, Chlorothiazide, Dronabinol, Carbamazepine, Mirabegron, Cimetidine, Sertraline, Celecoxib, Thiothixene, Acenocoumarol, Bumetanide, Lorcaserin, Frovatriptan, Chlormezanone, Doxepin, Doxylamine, Panobinostat, Desvenlafaxine, Nortriptyline, Acetazolamide, Asenapine, Cocaine, Vortioxetine, Triflupromazine, Lurasidone, Torasemide, Clozapine, Ropinirole, Palonosetron, Tedizolid phosphate, Escitalopram, Nefazodone, Ceritinib, Levomilnacipran, Cobicistat, Phenytoin, Mesoridazine, Reserpine, Minocycline, Bexarotene, Magnesium sulfate, Mitotane, Spironolactone, Hydroflumethiazide, Meperidine, Triamterene, Ethoxzolamide, Amoxapine, Iloperidone, Amiodarone, Posaconazole, Bupropion, Quinine, Citalopram, Buspirone, Sulpiride, Ergoloid mesylate, Idelalisib, Pramipexole, Tocilizumab, Quetiapine, Promethazine, Olanzapine, Eluxadoline, Cinacalcet, Droperidol, Isocarboxazid, Tienilic acid, Procyclidine, Chlorpromazine, Amisulpride, Maprotiline, Dicoumarol, Paliperidone, Sodium oxybate, Tipranavir, Trimipramine, Ethanol, Selegiline, Acepromazine, Metolazone, Amitriptyline, Clomipramine, Granisetron, Itraconazole, Warfarin, Etacrynic acid, Acetophenazine, Rufinamide, Nicardipine, Hydrochlorothiazide, Remoxipride, Lithium cation, Indinavir, Rasagiline, Dolasetron, Bromocriptine, Cathinone, Dapoxetine, Sumatriptan, Ketoconazole, Rizatriptan, Tranylcypromine, Abiraterone, Butorphanol, Voriconazole, Metyrosine, Eliglustat, Thalidomide, Chloroquine, Paraldehyde, Boceprevir, Vilazodone"
Betaxolol,"Butabarbital, Nicorandil, Regorafenib, Prazosin, Fingolimod, Alfuzosin, Methohexital, Acepromazine, Aripiprazole, Risperidone, Primidone, Propafenone, Carbamoylcholine, Disopyramide, Tofacitinib, Reserpine, Heptabarbital, Abiraterone, Ruxolitinib, Chloroquine, Butobarbital, Methylphenidate, Dronedarone, Floctafenine, Molsidomine, Brimonidine, Cyproterone acetate, Cabergoline, Methacholine, Ivabradine, Acetylcholine, Amiodarone, Ceritinib, Nifedipine, Dipyridamole, Orciprenaline, Theophylline, Dipivefrin, Levodopa, Secobarbital, Vemurafenib, Hexobarbital, Amifostine, Mexiletine, Rivastigmine, Bupivacaine, Phenelzine, Vardenafil, Duloxetine, Treprostinil, Digoxin, Deferasirox, Mepivacaine, Lacosamide, Midodrine, Tranylcypromine, Obinutuzumab, Tacrine, Pentoxifylline, Tadalafil, Chlorpropamide, Yohimbine, Sufentanil, Carbamazepine, Bretylium, Pentobarbital, Lidocaine, Teriflunomide, Moxonidine, Quinine, Diazoxide"
Fluconazole,"Omeprazole, Clopidogrel, Nisoldipine, Fesoterodine, Erlotinib, Telaprevir, Domperidone, Piroxicam, Isavuconazonium, Lapatinib, Oxycodone, Stiripentol, Regorafenib, Paclitaxel, Chlordiazepoxide, Didanosine, Nimodipine, Amlodipine, Silodosin, Zuclopenthixol, Zopiclone, Zafirlukast, Cisapride, Ramelteon, Ruxolitinib, Imatinib, Lurasidone, Ergotamine, Suvorexant, Sulfadiazine, Trimethoprim, Panobinostat, Midazolam, Lercanidipine, Pipotiazine, Mifepristone, Tipranavir, Sildenafil, Docetaxel, Ulipristal, Theophylline, Flurazepam, Doxorubicin, Nicardipine, Sirolimus, Buspirone, Phenytoin, Lansoprazole, Apixaban, Atazanavir, Isosorbide, Alitretinoin, Carvedilol, Saxagliptin, Salmeterol, Simeprevir, Nilotinib, Pimecrolimus, Nateglinide, Parecoxib, Diazepam, Tiagabine, Chlorpropamide, Fluticasone propionate, Glipizide, Nevirapine, Ceritinib, Triazolam, Prednisone, Vemurafenib, Naloxegol, Alprazolam, Flunarizine, Ethosuximide, Dofetilide, Eliglustat, Vilazodone, Bosutinib, Ospemifene, Fentanyl, Cobimetinib, Disopyramide, Dasatinib, Ifosfamide, Darifenacin, Maraviroc, Ketamine, Tolbutamide, Magnesium sulfate, Losartan, Fluvastatin, Atorvastatin, Conivaptan, Budesonide, Amiodarone, Carbamazepine, Eletriptan, Clorazepic acid, Lomitapide, Eplerenone, Vincristine, Axitinib, Fluoxetine, Gabapentin, Colchicine, Isosorbide dinitrate, Clarithromycin, Citalopram, Trazodone, Pimozide, Rifabutin, Dronabinol, Propafenone, Bromocriptine, Dexamethasone, Clonazepam, Ergometrine, Felodipine, Sulfisoxazole, Tizanidine, Sunitinib, Aprepitant, Mefloquine, Vinorelbine, Tofacitinib, Aripiprazole, Buprenorphine, Nefazodone, Ranolazine, Prenylamine, Mestranol, Ivacaftor, Pantoprazole, Trabectedin, Voriconazole, Norethisterone, Diltiazem, Vilanterol, Glyburide, Bepridil, Cabazitaxel, Tolvaptan, Tacrolimus, Erythromycin, Etoposide, Venlafaxine, Teniposide, Levomilnacipran, Quinidine, Ixabepilone, Cocaine, Daclatasvir, Chloroquine, Irinotecan, Simvastatin, Itraconazole, Solifenacin, Telithromycin, Glimepiride, Warfarin, Zolpidem, Esomeprazole, Tadalafil, Bosentan, Isosorbide mononitrate, Pazopanib, Olaparib, Gefitinib, Torasemide, Alfuzosin, Brexpiprazole, Dronedarone, Lamotrigine, Cinacalcet, Dabrafenib, Temsirolimus, Vardenafil, Eszopiclone, Halofantrine, Ibrutinib, Guanfacine, Spiramycin, Vinblastine, Hydrocodone, Nitrendipine, Zonisamide, Alfentanil, Fosphenytoin, Gliclazide, Lovastatin, Dapsone, Praziquantel, Ergoloid mesylate, Crizotinib, Tamoxifen, Sufentanil, Ivabradine, Verapamil, Tolazamide, Acenocoumarol, Amrinone, Sonidegib, Vindesine, Tolterodine, Meloxicam, Celecoxib, Modafinil, Perhexiline, Flibanserin, Dantrolene, Nifedipine, Isradipine, Busulfan, Quinine, Trastuzumab emtansine, Aminophylline, Amphotericin B, Avanafil, Fosaprepitant, Felbamate, Etravirine, Lidocaine, Darunavir, Haloperidol, Quetiapine, Cilostazol, Escitalopram, Dihydroergotamine, Sulfamethoxazole, Mirtazapine, Clidinium, Flutamide, Everolimus, Cabozantinib, Macitentan, Zidovudine, Risedronic acid, Dicoumarol, Trimipramine, Amitriptyline, Palbociclib, Hydroxyprogesterone caproate, Benzphetamine, Cyproterone acetate, Rabeprazole, Armodafinil, Methadone, Doxazosin, Tamsulosin, Bisoprolol, Dapoxetine"
Troglitazone,"Gliclazide, Trimethoprim, Glipizide, Deferiprone, Chlorpropamide, Tolbutamide, Glimepiride, Gemfibrozil, Glyburide, Tolazamide, Rifampicin, Sulfamethoxazole, Pregabalin"
Oseltamivir,Probenecid
Erythromycin,"Vardenafil, Nintedanib, Bosentan, Acetohexamide, Everolimus, Mequitazine, Perhexiline, Brentuximab vedotin, Metformin, Lovastatin, Colchicine, Insulin detemir, Siltuximab, St. John's Wort, Ifosfamide, Simeprevir, Dronabinol, Terfenadine, Barnidipine, Alprazolam, Ulipristal, Nisoldipine, Sonidegib, Aripiprazole, Prenylamine, Zafirlukast, Imatinib, Pitavastatin, Fexofenadine, Flunarizine, Ledipasvir, Oxycodone, Glimepiride, Dicoumarol, Brexpiprazole, Disopyramide, Clindamycin, Theophylline, Paroxetine, Gliclazide, Amlodipine, Apixaban, Quinine, Tacrolimus, Dasatinib, Picosulfuric acid, Verapamil, Rifabutin, Dexketoprofen, Tolvaptan, Ivacaftor, Atorvastatin, Lurasidone, Ivabradine, Afatinib, Nimodipine, Magnesium sulfate, Pimecrolimus, Fosaprepitant, Rilpivirine, Naloxegol, Estazolam, Sparfloxacin, Tolbutamide, Rivaroxaban, Testosterone, Linagliptin, Felodipine, Sulfisoxazole, Dabigatran etexilate, Bepridil, Lamotrigine, Fusidic acid, Hydrocodone, Canagliflozin, Chlorpropamide, Floxuridine, Topotecan, Buspirone, Phenytoin, Midazolam, Secobarbital, Nicardipine, Edoxaban, Saxagliptin, Glyburide, Dofetilide, Amrinone, Zopiclone, Stanolone, Acetylsalicylic acid, Vincristine, Idelalisib, Fentanyl, Ranolazine, Triazolam, Bexarotene, Salmeterol, Repaglinide, Cisapride, Insulin glulisine, Olaparib, Warfarin, Phenelzine, Nelfinavir, Isradipine, Suvorexant, Lincomycin, Simvastatin, Budesonide, Digoxin, Bosutinib, Doxorubicin, Mitotane, Aprepitant, Clozapine, Flibanserin, Alogliptin, Palbociclib, Carbamazepine, Telaprevir, Netupitant, Mifepristone, Nitrendipine, Avanafil, Dapoxetine, Ibrutinib, Alfentanil, Rifaximin, Gabapentin, Quinidine, Insulin aspart, Acenocoumarol, Doxofylline, Pazopanib, Luliconazole, Vildagliptin, Domperidone, Sirolimus, Pimozide, Saquinavir, Risedronic acid, Tranylcypromine, Vilazodone, Cilostazol, Tesmilifene, Conivaptan, Diclofenac, Sildenafil, Oxandrolone, Tocilizumab, Deferasirox, Silodosin, Clopidogrel, Gliquidone, Eplerenone, Trabectedin, Stiripentol, Lercanidipine, Citalopram, Methenamine, Dabrafenib, Temsirolimus, Lomitapide, Eletriptan"
Hydroxocobalamin,Chloramphenicol
Caffeine,"Deferasirox, Iobenguane, Methoxamine, Talniflumate, Indacaterol, Ketorolac, Hydroflumethiazide, Warfarin, Bepridil, Flunarizine, Triamterene, Atomoxetine, Citric acid, Acetazolamide, Trichlormethiazide, Treprostinil, Regadenoson, Phenprocoumon, Phenmetrazine, Ethoxzolamide, Risedronic acid, Dobutamine, Spironolactone, Amiloride, Amlodipine, Abiraterone, Gabapentin, Azelastine, Methohexital, Lamotrigine, Dronabinol, Adenosine, Tienilic acid, Nicardipine, Indapamide, Secobarbital, Fenoterol, Butobarbital, Sulodexide, Heptabarbital, Rifabutin, Dapsone, Propacetamol, Primidone, Butorphanol, Amitriptyline, Mephentermine, Norepinephrine, Dicoumarol, Labetalol, Brimonidine, Procyclidine, Chlorotrianisene, Ethyl biscoumacetate, Theophylline, Omacetaxine mepesuccinate, Venlafaxine, Ramosetron, Chlorothiazide, Magnesium sulfate, Midodrine, Mexiletine, Limaprost, Benzphetamine, Felodipine, Torasemide, Pentobarbital, Norethisterone, Tedizolid phosphate, Hexobarbital, Fondaparinux, Ridogrel, Eluxadoline, Dopamine, Phenylephrine, Formoterol, Terbutaline, Acebutolol, Nitrendipine, Olodaterol, Edetic acid, Verapamil, Paroxetine, Norfloxacin, Amrinone, Tizanidine, Isoprenaline, Doxofylline, Acenocoumarol, Heparin, Hydrochlorothiazide, Phenylpropanolamine, Nicorandil, Nisoldipine, Furosemide, Clenbuterol, Teriflunomide, Metamfetamine, Perindopril, Lithium cation, Prenylamine, Bumetanide, Fludrocortisone, Oxymetazoline, Acepromazine, Cathinone, Phenindione, Acetylsalicylic acid, Bendroflumethiazide, Ethanol, Diclofenamide, Omega-3 fatty acids, Linezolid, Vemurafenib, Dalteparin, Perhexiline, Chlorthalidone, Etacrynic acid, Butabarbital, Dexketoprofen, Salmeterol, Isradipine, Nimodipine, Chlorphentermine, Metaraminol, Valproic acid, Stiripentol, Ritodrine, Metolazone, Naphazoline, Lercanidipine, Cyclothiazide, Phenytoin, Epinephrine, Enoxaparin, Orciprenaline"
Succinylcholine,"Pyridostigmine, Spectinomycin, Cyclophosphamide, Oxymorphone, Neomycin, Fentanyl, Methadone, Donepezil, Levorphanol, Lincomycin, Quinine, Rivastigmine, Tacrine, Polymyxin B, Quinidine, Remifentanil, Tapentadol, Ribostamycin, Lithium cation, Streptomycin, Echothiophate, Minocycline, Tobramycin, Amikacin, Galantamine, Arbekacin, Edrophonium, Clindamycin, Digoxin, Netilmicin, Buprenorphine, Torasemide, Capreomycin, Alfentanil, Hydrocodone, Colistimethate, Vancomycin, Pentazocine, Bambuterol, Phenelzine, Hydromorphone, Butorphanol, Meperidine, Oxycodone, Gentamicin, Framycetin, Sufentanil, Oxytetracycline, Kanamycin, Procainamide, Morphine, Neostigmine, Magnesium sulfate, Nalbuphine, Physostigmine"
Sildenafil,"Telaprevir, Sorafenib, Fosaprepitant, Carbamazepine, Tipranavir, Sulfadiazine, Netupitant, Stiripentol, Capecitabine, Sapropterin, Dabrafenib, Riociguat, Batimastat, Ticagrelor, Pyrimethamine, Siltuximab, Alfuzosin, Rifapentine, Ceritinib, Darunavir, Posaconazole, Delavirdine, Secobarbital, Floxuridine, Lorcaserin, Sulfamethoxazole, Alprostadil, Ethanol, Mitotane, Telithromycin, Fosamprenavir, Leflunomide, Idelalisib, Itraconazole, Boceprevir, Deferasirox, Atazanavir, Cobicistat, Luliconazole, Omeprazole, Tadalafil, Conivaptan, Simeprevir, Efavirenz, Saquinavir, Erythrityl tetranitrate, Tocilizumab, St. John's Wort, Vardenafil, Dapoxetine, Phenobarbital, Trimethoprim, Clarithromycin, Amiodarone, Fosphenytoin, Fluorouracil, Nefazodone, Bexarotene, Ketoconazole, Mifepristone, Rifampicin, Primidone, Palbociclib, Aprepitant, Nelfinavir, Moxonidine, Etravirine, Gemfibrozil, Molsidomine, Phenytoin, Isoflurophate, Bosentan, Abiraterone, Dasatinib, Ritonavir, Quinine, Zafirlukast, Nicardipine, Irbesartan, Tolbutamide, Ivacaftor, Prazosin, Indinavir, Voriconazole, Losartan, Sulfisoxazole, Amyl Nitrite, Fusidic acid, Fluvastatin"
