Interaction,Drug_Name
Nateglinide,Metformin
Arsenic trioxide,Metformin
Sunitinib,Metformin
Aripiprazole,Metformin
Hexobarbital,Metformin
Asenapine,Metformin
Ardeparin,Metformin
Sulfadiazine,Metformin
Trichlormethiazide,Metformin
Ioxilan,Metformin
Darunavir,Metformin
Stanolone,Metformin
Verapamil,Metformin
Ethinylestradiol,Metformin
Trimethoprim,Metformin
Butobarbital,Metformin
Progesterone,Metformin
Sulfamethoxazole,Metformin
Paliperidone,Metformin
Diclofenamide,Metformin
Tipranavir,Metformin
Dalfampridine,Metformin
Triamterene,Metformin
Perindopril,Metformin
Prednisolone,Metformin
Ethanol,Metformin
Ioversol,Metformin
Chlorpropamide,Metformin
Indapamide,Metformin
Danazol,Metformin
St. John's Wort,Metformin
Pipotiazine,Metformin
Iodipamide,Metformin
Fosamprenavir,Metformin
Everolimus,Metformin
Methylprednisolone,Metformin
Sirolimus,Metformin
Iodixanol,Metformin
Risperidone,Metformin
Cortisone acetate,Metformin
Hydrochlorothiazide,Metformin
Nilotinib,Metformin
Clozapine,Metformin
Dolutegravir,Metformin
Iohexol,Metformin
Lanreotide,Metformin
Gliclazide,Metformin
Methohexital,Metformin
Testosterone,Metformin
Nicorandil,Metformin
Methotrimeprazine,Metformin
Quetiapine,Metformin
Ceritinib,Metformin
Iopromide,Metformin
Triptorelin,Metformin
Glycopyrronium,Metformin
Tolbutamide,Metformin
Estrone sulfate,Metformin
Cyproterone acetate,Metformin
Heptabarbital,Metformin
Niacin,Metformin
Histrelin,Metformin
Oxandrolone,Metformin
Iopamidol,Metformin
Epinephrine,Metformin
Prednisone,Metformin
Temsirolimus,Metformin
Acetylsalicylic acid,Metformin
Furosemide,Metformin
Ethynodiol diacetate,Metformin
Hydrocortisone,Metformin
Glipizide,Metformin
Atazanavir,Metformin
Corticotropin,Metformin
Repaglinide,Metformin
Ritonavir,Metformin
Lurasidone,Metformin
Cephalexin,Metformin
Insulin detemir,Metformin
Quinine,Metformin
Dabrafenib,Metformin
Etacrynic acid,Metformin
Hydroxyprogesterone caproate,Metformin
Olanzapine,Metformin
Insulin glulisine,Metformin
Bumetanide,Metformin
Megestrol acetate,Metformin
Zonisamide,Metformin
Cimetidine,Metformin
Mifepristone,Metformin
Tranylcypromine,Metformin
Pasireotide,Metformin
Insulin aspart,Metformin
Betamethasone,Metformin
Brexpiprazole,Metformin
Bupropion,Metformin
Metolazone,Metformin
Vandetanib,Metformin
Norgestimate,Metformin
Diazoxide,Metformin
Pentamidine,Metformin
Acetazolamide,Metformin
Vorinostat,Metformin
Medroxyprogesterone acetate,Metformin
Drospirenone,Metformin
Estradiol,Metformin
Propantheline,Ipratropium
Metamfetamine,Ipratropium
Cyclizine,Ipratropium
Fluphenazine,Ipratropium
Acebutolol,Ipratropium
Formoterol,Ipratropium
Moclobemide,Ipratropium
Fexofenadine,Ipratropium
Diphenhydramine,Ipratropium
Desloratadine,Ipratropium
Clofedanol,Ipratropium
Trimethobenzamide,Ipratropium
Levocabastine,Ipratropium
Droperidol,Ipratropium
Dobutamine,Ipratropium
Mepenzolate,Ipratropium
Dexbrompheniramine,Ipratropium
Dronabinol,Ipratropium
Methscopolamine,Ipratropium
Prochlorperazine,Ipratropium
Sulpiride,Ipratropium
Quetiapine,Ipratropium
Loratadine,Ipratropium
Naphazoline,Ipratropium
Procyclidine,Ipratropium
Umeclidinium,Ipratropium
Phenylpropanolamine,Ipratropium
Eluxadoline,Ipratropium
Carbinoxamine,Ipratropium
Cyclobenzaprine,Ipratropium
Promazine,Ipratropium
Labetalol,Ipratropium
Tiotropium,Ipratropium
Desipramine,Ipratropium
Pimozide,Ipratropium
Tolterodine,Ipratropium
Clomipramine,Ipratropium
Doxylamine,Ipratropium
Terbutaline,Ipratropium
Clenbuterol,Ipratropium
Perphenazine,Ipratropium
Hydroxyzine,Ipratropium
Dicyclomine,Ipratropium
Orphenadrine,Ipratropium
Solifenacin,Ipratropium
Doxofylline,Ipratropium
Metaraminol,Ipratropium
Zuclopenthixol,Ipratropium
Tranylcypromine,Ipratropium
Flupentixol,Ipratropium
Orciprenaline,Ipratropium
Protriptyline,Ipratropium
Pizotifen,Ipratropium
Cyproheptadine,Ipratropium
Azelastine,Ipratropium
Oxymetazoline,Ipratropium
Tacrine,Ipratropium
Risperidone,Ipratropium
Loxapine,Ipratropium
Methotrimeprazine,Ipratropium
Itopride,Ipratropium
Cyclopentolate,Ipratropium
Methoxamine,Ipratropium
Isocarboxazid,Ipratropium
Triprolidine,Ipratropium
Thiothixene,Ipratropium
Mianserin,Ipratropium
Glycopyrronium,Ipratropium
Phenelzine,Ipratropium
Diphenoxylate,Ipratropium
Olopatadine,Ipratropium
Doxepin,Ipratropium
Benzphetamine,Ipratropium
Chlorpromazine,Ipratropium
Norepinephrine,Ipratropium
Clidinium,Ipratropium
Hyoscyamine,Ipratropium
Trichlormethiazide,Ipratropium
Darifenacin,Ipratropium
Promethazine,Ipratropium
Imipramine,Ipratropium
Iobenguane,Ipratropium
Cetirizine,Ipratropium
Chlorphentermine,Ipratropium
Dopamine,Ipratropium
Trifluoperazine,Ipratropium
Thioridazine,Ipratropium
Epinephrine,Ipratropium
Phenylephrine,Ipratropium
Mephentermine,Ipratropium
Fesoterodine,Ipratropium
Chlorpheniramine,Ipratropium
Trimipramine,Ipratropium
Potassium chloride,Ipratropium
Mirabegron,Ipratropium
Fenoterol,Ipratropium
Cimetropium,Ipratropium
Butylscopolamine,Ipratropium
Difenoxin,Ipratropium
Salmeterol,Ipratropium
Isoprenaline,Ipratropium
Ritodrine,Ipratropium
Nadolol,Ipratropium
Dimenhydrinate,Ipratropium
Brompheniramine,Ipratropium
Phenmetrazine,Ipratropium
Clozapine,Ipratropium
Atropine,Ipratropium
Haloperidol,Ipratropium
Flavoxate,Ipratropium
Meclizine,Ipratropium
Amoxapine,Ipratropium
Oxybutynin,Ipratropium
Chlordiazepoxide,Ipratropium
Pramlintide,Ipratropium
Fluticasone propionate,Ipratropium
Dexchlorpheniramine maleate,Ipratropium
Scopolamine,Ipratropium
Aclidinium,Ipratropium
Nortriptyline,Ipratropium
Olanzapine,Ipratropium
Maprotiline,Ipratropium
Levocetirizine,Ipratropium
Ramosetron,Ipratropium
Trihexyphenidyl,Ipratropium
Homatropine,Ipratropium
Pramipexole,Methadone
Aprepitant,Methadone
Clotiazepam,Methadone
Mitotane,Methadone
Bromazepam,Methadone
Conivaptan,Methadone
Aripiprazole,Methadone
Letrozole,Methadone
Metolazone,Methadone
Indapamide,Methadone
Darunavir,Methadone
Cathinone,Methadone
Sulpiride,Methadone
Zuclopenthixol,Methadone
Netupitant,Methadone
Isocarboxazid,Methadone
Doxorubicin,Methadone
Fosphenytoin,Methadone
Linezolid,Methadone
Phenobarbital,Methadone
Hydrochlorothiazide,Methadone
Ivacaftor,Methadone
Furosemide,Methadone
Sertindole,Methadone
Pimozide,Methadone
Fesoterodine,Methadone
Clonazepam,Methadone
Oxazepam,Methadone
Rotigotine,Methadone
Diazepam,Methadone
Chlordiazepoxide,Methadone
Mesoridazine,Methadone
Hydroflumethiazide,Methadone
Prochlorperazine,Methadone
Alvimopan,Methadone
Methotrimeprazine,Methadone
Cinolazepam,Methadone
Thalidomide,Methadone
Haloperidol,Methadone
Dronabinol,Methadone
Clopidogrel,Methadone
Fusidic acid,Methadone
Droperidol,Methadone
Zolpidem,Methadone
Nitrazepam,Methadone
Quazepam,Methadone
Formestane,Methadone
Acepromazine,Methadone
Telaprevir,Methadone
Benzquinamide,Methadone
Fencamfamin,Methadone
Lubiprostone,Methadone
Procarbazine,Methadone
Abacavir,Methadone
Thioridazine,Methadone
Mifepristone,Methadone
Paliperidone,Methadone
Rifapentine,Methadone
Metyrosine,Methadone
Itraconazole,Methadone
Deferasirox,Methadone
Amisulpride,Methadone
Loxapine,Methadone
Efavirenz,Methadone
Perphenazine,Methadone
Ketazolam,Methadone
Chlorprothixene,Methadone
Tranylcypromine,Methadone
Rasagiline,Methadone
Fosamprenavir,Methadone
Clorazepic acid,Methadone
Carphenazine,Methadone
Ondansetron,Methadone
Estazolam,Methadone
Procyclidine,Methadone
Hydrocodone,Methadone
Thiothixene,Methadone
Mequitazine,Methadone
Carbamazepine,Methadone
Etravirine,Methadone
Metoclopramide,Methadone
Minocycline,Methadone
Tedizolid phosphate,Methadone
Cyclothiazide,Methadone
Triamterene,Methadone
Triflupromazine,Methadone
Phenelzine,Methadone
Chlorothiazide,Methadone
Naltrexone,Methadone
Tamoxifen,Methadone
Fluphenazine,Methadone
Rufinamide,Methadone
Primidone,Methadone
Aminoglutethimide,Methadone
Moclobemide,Methadone
Hydroxyzine,Methadone
Didanosine,Methadone
Granisetron,Methadone
Fosaprepitant,Methadone
Chlormezanone,Methadone
Eluxadoline,Methadone
Cobicistat,Methadone
Doxylamine,Methadone
Halazepam,Methadone
Brimonidine,Methadone
Orphenadrine,Methadone
Midazolam,Methadone
Simeprevir,Methadone
Dabrafenib,Methadone
St. John's Wort,Methadone
Boceprevir,Methadone
Molindone,Methadone
Sorafenib,Methadone
Crizotinib,Methadone
Rilpivirine,Methadone
Zidovudine,Methadone
Ketoconazole,Methadone
Sertraline,Methadone
Paraldehyde,Methadone
Acetazolamide,Methadone
Clozapine,Methadone
Spironolactone,Methadone
Acetophenazine,Methadone
Etacrynic acid,Methadone
Trifluoperazine,Methadone
Bendroflumethiazide,Methadone
Thiotepa,Methadone
Bosentan,Methadone
Remoxipride,Methadone
Ammonium chloride,Methadone
Camazepam,Methadone
Magnesium sulfate,Methadone
Paroxetine,Methadone
Dapoxetine,Methadone
Brexpiprazole,Methadone
Ivabradine,Methadone
Quetiapine,Methadone
Suvorexant,Methadone
Risperidone,Methadone
Palbociclib,Methadone
Vortioxetine,Methadone
Luliconazole,Methadone
Butorphanol,Methadone
Stiripentol,Methadone
Clobazam,Methadone
Siltuximab,Methadone
Sodium oxybate,Methadone
Trichlormethiazide,Methadone
Voriconazole,Methadone
Amiloride,Methadone
Ethanol,Methadone
Selegiline,Methadone
Rifampicin,Methadone
Flurazepam,Methadone
Tofisopam,Methadone
Alprazolam,Methadone
Exemestane,Methadone
Posaconazole,Methadone
Ramosetron,Methadone
Perampanel,Methadone
Cloxazolam,Methadone
Fluspirilene,Methadone
Tapentadol,Methadone
Dasatinib,Methadone
Nebivolol,Methadone
Flunitrazepam,Methadone
Fludiazepam,Methadone
Vilazodone,Methadone
Tipranavir,Methadone
Bumetanide,Methadone
Olanzapine,Methadone
Promazine,Methadone
Chlorpromazine,Methadone
Lopinavir,Methadone
Anastrozole,Methadone
Ritonavir,Methadone
Triazolam,Methadone
Azelastine,Methadone
Flupentixol,Methadone
Tienilic acid,Methadone
Desipramine,Methadone
Idelalisib,Methadone
Nabilone,Methadone
Tocilizumab,Methadone
Saquinavir,Methadone
Cloxazolam,Olanzapine
Nabilone,Olanzapine
Rasagiline,Olanzapine
Gliclazide,Olanzapine
Cathinone,Olanzapine
Insulin detemir,Olanzapine
Tedizolid phosphate,Olanzapine
Thalidomide,Olanzapine
Cyclobenzaprine,Olanzapine
Pramlintide,Olanzapine
Levomilnacipran,Olanzapine
Trichlormethiazide,Olanzapine
Deferasirox,Olanzapine
Lithium cation,Olanzapine
Dextroamphetamine,Olanzapine
Ritonavir,Olanzapine
Buprenorphine,Olanzapine
Vemurafenib,Olanzapine
Acetohexamide,Olanzapine
Fluoxetine,Olanzapine
Procarbazine,Olanzapine
Gliquidone,Olanzapine
Estazolam,Olanzapine
Donepezil,Olanzapine
Desvenlafaxine,Olanzapine
Clonazepam,Olanzapine
Midazolam,Olanzapine
Triazolam,Olanzapine
Dextromethorphan,Olanzapine
Frovatriptan,Olanzapine
Meperidine,Olanzapine
Methotrimeprazine,Olanzapine
Lorcaserin,Olanzapine
Mianserin,Olanzapine
Metoclopramide,Olanzapine
Mifepristone,Olanzapine
Moclobemide,Olanzapine
Hydroxyzine,Olanzapine
Itopride,Olanzapine
Ergotamine,Olanzapine
Tizanidine,Olanzapine
Hydrocodone,Olanzapine
Doxepin,Olanzapine
Fentanyl,Olanzapine
Paroxetine,Olanzapine
Promethazine,Olanzapine
Magnesium sulfate,Olanzapine
Tapentadol,Olanzapine
Tofisopam,Olanzapine
Bromocriptine,Olanzapine
Vildagliptin,Olanzapine
Insulin glulisine,Olanzapine
Clorazepic acid,Olanzapine
Chlorpropamide,Olanzapine
Lamotrigine,Olanzapine
Tiotropium,Olanzapine
Cyproterone acetate,Olanzapine
Zolpidem,Olanzapine
Nitrazepam,Olanzapine
Escitalopram,Olanzapine
Vilazodone,Olanzapine
Clotiazepam,Olanzapine
Isocarboxazid,Olanzapine
Vortioxetine,Olanzapine
Chlordiazepoxide,Olanzapine
Oxazepam,Olanzapine
Phendimetrazine,Olanzapine
Nefazodone,Olanzapine
Lisdexamfetamine,Olanzapine
Linagliptin,Olanzapine
Trazodone,Olanzapine
Carbamazepine,Olanzapine
Tacrine,Olanzapine
Tolbutamide,Olanzapine
Milnacipran,Olanzapine
Diazepam,Olanzapine
Duloxetine,Olanzapine
Paraldehyde,Olanzapine
Alprazolam,Olanzapine
Ketazolam,Olanzapine
Alogliptin,Olanzapine
Clobazam,Olanzapine
Doxylamine,Olanzapine
Linezolid,Olanzapine
Amisulpride,Olanzapine
Protriptyline,Olanzapine
Repaglinide,Olanzapine
Azelastine,Olanzapine
Rizatriptan,Olanzapine
Perampanel,Olanzapine
Sumatriptan,Olanzapine
Mirtazapine,Olanzapine
Abiraterone,Olanzapine
Desipramine,Olanzapine
Naratriptan,Olanzapine
Suvorexant,Olanzapine
Sodium oxybate,Olanzapine
Quazepam,Olanzapine
Brimonidine,Olanzapine
Flurazepam,Olanzapine
Sulpiride,Olanzapine
Flunitrazepam,Olanzapine
Cimetropium,Olanzapine
Potassium chloride,Olanzapine
Eluxadoline,Olanzapine
Metamfetamine,Olanzapine
Nortriptyline,Olanzapine
Galantamine,Olanzapine
Tetrabenazine,Olanzapine
Buspirone,Olanzapine
Quinagolide,Olanzapine
Selegiline,Olanzapine
Droperidol,Olanzapine
Camazepam,Olanzapine
Aclidinium,Olanzapine
Mequitazine,Olanzapine
Canagliflozin,Olanzapine
Ramosetron,Olanzapine
Imipramine,Olanzapine
Umeclidinium,Olanzapine
Maprotiline,Olanzapine
Bromazepam,Olanzapine
Methylphenidate,Olanzapine
Amoxapine,Olanzapine
Procyclidine,Olanzapine
Sertraline,Olanzapine
Teriflunomide,Olanzapine
Ergoloid mesylate,Olanzapine
Orphenadrine,Olanzapine
Mexiletine,Olanzapine
Tranylcypromine,Olanzapine
Ethanol,Olanzapine
Mirabegron,Olanzapine
Clomipramine,Olanzapine
Rufinamide,Olanzapine
Halazepam,Olanzapine
Dronabinol,Olanzapine
Metyrosine,Olanzapine
Rivastigmine,Olanzapine
Insulin aspart,Olanzapine
Chlormezanone,Olanzapine
Glyburide,Olanzapine
Cinolazepam,Olanzapine
Fludiazepam,Olanzapine
Almotriptan,Olanzapine
Phenelzine,Olanzapine
Ergometrine,Olanzapine
Trimipramine,Olanzapine
Saxagliptin,Olanzapine
Benzphetamine,Olanzapine
Aripiprazole,Olanzapine
Minocycline,Olanzapine
Heptabarbital,Atenolol
Diazoxide,Atenolol
Dronedarone,Atenolol
Methohexital,Atenolol
Nifedipine,Atenolol
Obinutuzumab,Atenolol
Risperidone,Atenolol
Ruxolitinib,Atenolol
Methylphenidate,Atenolol
Fingolimod,Atenolol
Ivabradine,Atenolol
Primidone,Atenolol
Mepivacaine,Atenolol
Duloxetine,Atenolol
Lacosamide,Atenolol
Glycopyrronium,Atenolol
Tofacitinib,Atenolol
Prazosin,Atenolol
Sufentanil,Atenolol
Tacrine,Atenolol
Ceritinib,Atenolol
Phenelzine,Atenolol
Bretylium,Atenolol
Tadalafil,Atenolol
Levodopa,Atenolol
Treprostinil,Atenolol
Dipyridamole,Atenolol
Pentoxifylline,Atenolol
Tranylcypromine,Atenolol
Chlorpropamide,Atenolol
Nicorandil,Atenolol
Regorafenib,Atenolol
Butobarbital,Atenolol
Digoxin,Atenolol
Dipivefrin,Atenolol
Amiodarone,Atenolol
Molsidomine,Atenolol
Moxonidine,Atenolol
Quinine,Atenolol
Methacholine,Atenolol
Yohimbine,Atenolol
Orciprenaline,Atenolol
Acetylcholine,Atenolol
Amifostine,Atenolol
Floctafenine,Atenolol
Secobarbital,Atenolol
Hexobarbital,Atenolol
Ampicillin,Atenolol
Brimonidine,Atenolol
Carbamoylcholine,Atenolol
Rivastigmine,Atenolol
Alfuzosin,Atenolol
Vardenafil,Atenolol
Ifosfamide,Pimecrolimus
Temsirolimus,Pimecrolimus
Cabazitaxel,Pimecrolimus
Crizotinib,Pimecrolimus
Aprepitant,Pimecrolimus
Sunitinib,Pimecrolimus
Vinblastine,Pimecrolimus
Brentuximab vedotin,Pimecrolimus
Melphalan,Pimecrolimus
Diltiazem,Pimecrolimus
Idelalisib,Pimecrolimus
Eculizumab,Pimecrolimus
Doxorubicin,Pimecrolimus
Tretinoin,Pimecrolimus
Azathioprine,Pimecrolimus
Clofarabine,Pimecrolimus
Fludrocortisone,Pimecrolimus
Pentostatin,Pimecrolimus
Tacrolimus,Pimecrolimus
Teniposide,Pimecrolimus
Pazopanib,Pimecrolimus
Daunorubicin,Pimecrolimus
Basil,Pimecrolimus
Carboplatin,Pimecrolimus
Teriflunomide,Pimecrolimus
Cyclophosphamide,Pimecrolimus
Ustekinumab,Pimecrolimus
Nelarabine,Pimecrolimus
Everolimus,Pimecrolimus
Trastuzumab emtansine,Pimecrolimus
Posaconazole,Pimecrolimus
Busulfan,Pimecrolimus
Nefazodone,Pimecrolimus
Atazanavir,Pimecrolimus
Nilotinib,Pimecrolimus
Idarubicin,Pimecrolimus
Budesonide,Pimecrolimus
Panobinostat,Pimecrolimus
Prednisone,Pimecrolimus
Etoposide,Pimecrolimus
Mitoxantrone,Pimecrolimus
Itraconazole,Pimecrolimus
Irinotecan,Pimecrolimus
Triamcinolone,Pimecrolimus
Sorafenib,Pimecrolimus
Fludarabine,Pimecrolimus
Mechlorethamine,Pimecrolimus
Gemcitabine,Pimecrolimus
Fosamprenavir,Pimecrolimus
Mifepristone,Pimecrolimus
Mercaptopurine,Pimecrolimus
Canakinumab,Pimecrolimus
Mycophenolate mofetil,Pimecrolimus
Boceprevir,Pimecrolimus
Verapamil,Pimecrolimus
Golimumab,Pimecrolimus
Ritonavir,Pimecrolimus
Ibrutinib,Pimecrolimus
Prednisolone,Pimecrolimus
Mycophenolic acid,Pimecrolimus
Blinatumomab,Pimecrolimus
Dronedarone,Pimecrolimus
Thalidomide,Pimecrolimus
Clarithromycin,Pimecrolimus
Sirolimus,Pimecrolimus
Certolizumab pegol,Pimecrolimus
Temozolomide,Pimecrolimus
Estramustine,Pimecrolimus
Dexamethasone,Pimecrolimus
Pomalidomide,Pimecrolimus
Lomustine,Pimecrolimus
Abatacept,Pimecrolimus
Dacarbazine,Pimecrolimus
Belatacept,Pimecrolimus
Procarbazine,Pimecrolimus
Ceritinib,Pimecrolimus
Azacitidine,Pimecrolimus
Betamethasone,Pimecrolimus
Obinutuzumab,Pimecrolimus
Epirubicin,Pimecrolimus
Thiotepa,Pimecrolimus
Cortisone acetate,Pimecrolimus
Darunavir,Pimecrolimus
Pemetrexed,Pimecrolimus
Tofacitinib,Pimecrolimus
Cisplatin,Pimecrolimus
Hydrocortisone,Pimecrolimus
Altretamine,Pimecrolimus
Ketoconazole,Pimecrolimus
Oxaliplatin,Pimecrolimus
Imatinib,Pimecrolimus
Osimertinib,Pimecrolimus
Leflunomide,Pimecrolimus
Vinorelbine,Pimecrolimus
Dasatinib,Pimecrolimus
Cobicistat,Pimecrolimus
Trabectedin,Pimecrolimus
Ruxolitinib,Pimecrolimus
Tioguanine,Pimecrolimus
Vincristine,Pimecrolimus
Isavuconazonium,Pimecrolimus
Telaprevir,Pimecrolimus
Topotecan,Pimecrolimus
Hydroxyurea,Pimecrolimus
Vedolizumab,Pimecrolimus
Delavirdine,Pimecrolimus
Fluorouracil,Pimecrolimus
Lenalidomide,Pimecrolimus
Conivaptan,Pimecrolimus
Imiquimod,Pimecrolimus
Streptozocin,Pimecrolimus
Rilonacept,Pimecrolimus
Palbociclib,Pimecrolimus
Methotrexate,Pimecrolimus
Methylprednisolone,Pimecrolimus
Docetaxel,Pimecrolimus
Telithromycin,Pimecrolimus
Dinutuximab,Pimecrolimus
Dactinomycin,Pimecrolimus
Voriconazole,Pimecrolimus
Corticotropin,Pimecrolimus
Cytarabine,Pimecrolimus
Capecitabine,Pimecrolimus
Belimumab,Pimecrolimus
Tocilizumab,Pimecrolimus
Secukinumab,Pimecrolimus
Fingolimod,Pimecrolimus
Glatiramer,Pimecrolimus
Paclitaxel,Pimecrolimus
Pralatrexate,Pimecrolimus
Siltuximab,Pimecrolimus
Saquinavir,Pimecrolimus
Fosphenytoin,Omeprazole
Escitalopram,Omeprazole
Ibandronate,Omeprazole
Posaconazole,Omeprazole
Bosutinib,Omeprazole
Lumacaftor,Omeprazole
Methylphenidate,Omeprazole
Clodronic acid,Omeprazole
Riociguat,Omeprazole
Dabigatran etexilate,Omeprazole
Ketoconazole,Omeprazole
Atazanavir,Omeprazole
Zoledronic acid,Omeprazole
Acenocoumarol,Omeprazole
Raltegravir,Omeprazole
Dexmethylphenidate,Omeprazole
Pazopanib,Omeprazole
Cefditoren,Omeprazole
Iron Dextran,Omeprazole
Tacrolimus,Omeprazole
Nilotinib,Omeprazole
Itraconazole,Omeprazole
Mycophenolate mofetil,Omeprazole
St. John's Wort,Omeprazole
Ledipasvir,Omeprazole
Carvedilol,Omeprazole
Tiludronic acid,Omeprazole
Bosentan,Omeprazole
Delavirdine,Omeprazole
Voriconazole,Omeprazole
Methotrexate,Omeprazole
Tipranavir,Omeprazole
Risedronic acid,Omeprazole
Cilostazol,Omeprazole
Saquinavir,Omeprazole
Clozapine,Omeprazole
Clopidogrel,Omeprazole
Dasatinib,Omeprazole
Cysteamine,Omeprazole
Sofosbuvir,Omeprazole
Erlotinib,Omeprazole
Dabrafenib,Omeprazole
Aripiprazole,Omeprazole
Rifampicin,Omeprazole
Alendronic acid,Omeprazole
Dronabinol,Omeprazole
Warfarin,Omeprazole
Dextroamphetamine,Omeprazole
Mycophenolic acid,Omeprazole
Tizanidine,Omeprazole
Rilpivirine,Omeprazole
Rifampicin,Pyrazinamide
Paroxetine,Cetirizine
Nabilone,Cetirizine
Orphenadrine,Cetirizine
Rotigotine,Cetirizine
Perampanel,Cetirizine
Sodium oxybate,Cetirizine
Rufinamide,Cetirizine
Doxylamine,Cetirizine
Tesmilifene,Cetirizine
Procyclidine,Cetirizine
Umeclidinium,Cetirizine
Zolpidem,Cetirizine
Pramipexole,Cetirizine
Mirtazapine,Cetirizine
Dronabinol,Cetirizine
Mirabegron,Cetirizine
Itopride,Cetirizine
Hydrocodone,Cetirizine
Cathinone,Cetirizine
Buprenorphine,Cetirizine
Thalidomide,Cetirizine
Paraldehyde,Cetirizine
Droperidol,Cetirizine
Pramlintide,Cetirizine
Saquinavir,Cetirizine
Tapentadol,Cetirizine
Lumacaftor,Cetirizine
Potassium chloride,Cetirizine
Metyrosine,Cetirizine
Benzylpenicilloyl polylysine,Cetirizine
Trichlormethiazide,Cetirizine
Verapamil,Cetirizine
Ramosetron,Cetirizine
Eluxadoline,Cetirizine
Tacrine,Cetirizine
Ethanol,Cetirizine
Hydroxyzine,Cetirizine
Aclidinium,Cetirizine
Sulpiride,Cetirizine
Brimonidine,Cetirizine
Suvorexant,Cetirizine
Tiotropium,Cetirizine
Magnesium sulfate,Cetirizine
Cimetropium,Cetirizine
Betahistine,Cetirizine
Minocycline,Cetirizine
Methotrimeprazine,Cetirizine
Azelastine,Cetirizine
Mianserin,Cetirizine
Delavirdine,Terfenadine
Fosaprepitant,Terfenadine
Atazanavir,Terfenadine
Saquinavir,Terfenadine
Cobicistat,Terfenadine
Ketoconazole,Terfenadine
Ritonavir,Terfenadine
Nefazodone,Terfenadine
Spiramycin,Terfenadine
Darunavir,Terfenadine
Posaconazole,Terfenadine
Voriconazole,Terfenadine
Bicalutamide,Terfenadine
Itraconazole,Terfenadine
Ceritinib,Terfenadine
Telaprevir,Terfenadine
Telithromycin,Terfenadine
Boceprevir,Terfenadine
Idelalisib,Terfenadine
Clarithromycin,Terfenadine
Primidone,Diltiazem
Flibanserin,Diltiazem
Moxonidine,Diltiazem
Yohimbine,Diltiazem
Fentanyl,Diltiazem
Zuclopenthixol,Diltiazem
St. John's Wort,Diltiazem
Hexobarbital,Diltiazem
Risperidone,Diltiazem
Apixaban,Diltiazem
Atorvastatin,Diltiazem
Clarithromycin,Diltiazem
Tacrolimus,Diltiazem
Simvastatin,Diltiazem
Fusidic acid,Diltiazem
Zopiclone,Diltiazem
Tocilizumab,Diltiazem
Prazosin,Diltiazem
Mitotane,Diltiazem
Regorafenib,Diltiazem
Atosiban,Diltiazem
Stiripentol,Diltiazem
Heptabarbital,Diltiazem
Phenelzine,Diltiazem
Netupitant,Diltiazem
Propafenone,Diltiazem
Colestipol,Diltiazem
Bosutinib,Diltiazem
Fosphenytoin,Diltiazem
Avanafil,Diltiazem
Sufentanil,Diltiazem
Acetylsalicylic acid,Diltiazem
Amifostine,Diltiazem
Ruxolitinib,Diltiazem
Buspirone,Diltiazem
Vardenafil,Diltiazem
Tadalafil,Diltiazem
Aripiprazole,Diltiazem
Ceritinib,Diltiazem
Saxagliptin,Diltiazem
Ivabradine,Diltiazem
Nimodipine,Diltiazem
Trabectedin,Diltiazem
Everolimus,Diltiazem
Imatinib,Diltiazem
Amlodipine,Diltiazem
Olaparib,Diltiazem
Butobarbital,Diltiazem
Alfuzosin,Diltiazem
Domperidone,Diltiazem
Levodopa,Diltiazem
Ivacaftor,Diltiazem
Tranylcypromine,Diltiazem
Nafcillin,Diltiazem
Aprepitant,Diltiazem
Vilazodone,Diltiazem
Eplerenone,Diltiazem
Treprostinil,Diltiazem
Isoflurophate,Diltiazem
Oxycodone,Diltiazem
Lacosamide,Diltiazem
Brexpiprazole,Diltiazem
Eliglustat,Diltiazem
Efavirenz,Diltiazem
Quinidine,Diltiazem
Budesonide,Diltiazem
Saquinavir,Diltiazem
Pimozide,Diltiazem
Molsidomine,Diltiazem
Dronabinol,Diltiazem
Deferasirox,Diltiazem
Cimetidine,Diltiazem
Brimonidine,Diltiazem
Rifampicin,Diltiazem
Suvorexant,Diltiazem
Idelalisib,Diltiazem
Dabrafenib,Diltiazem
Batimastat,Diltiazem
Ketoconazole,Diltiazem
Lomitapide,Diltiazem
Lithium cation,Diltiazem
Nadolol,Diltiazem
Naloxegol,Diltiazem
Bosentan,Diltiazem
Hydrocodone,Diltiazem
Duloxetine,Diltiazem
Dronedarone,Diltiazem
Verapamil,Diltiazem
Sonidegib,Diltiazem
Luliconazole,Diltiazem
Cilostazol,Diltiazem
Ibrutinib,Diltiazem
Methylphenidate,Diltiazem
Conivaptan,Diltiazem
Simeprevir,Diltiazem
Halofantrine,Diltiazem
Clopidogrel,Diltiazem
Ulipristal,Diltiazem
Palbociclib,Diltiazem
Tolvaptan,Diltiazem
Quinine,Diltiazem
Salmeterol,Diltiazem
Diazoxide,Diltiazem
Digoxin,Diltiazem
Secobarbital,Diltiazem
Dasatinib,Diltiazem
Amiodarone,Diltiazem
Siltuximab,Diltiazem
Dapoxetine,Diltiazem
Tofacitinib,Diltiazem
Magnesium sulfate,Diltiazem
Bretylium,Diltiazem
Fosaprepitant,Diltiazem
Clonidine,Diltiazem
Lurasidone,Diltiazem
Rifabutin,Diltiazem
Doxorubicin,Diltiazem
Colchicine,Diltiazem
Obinutuzumab,Diltiazem
Alfentanil,Diltiazem
