drug,effect
sulfonamides,erythema multiforme
sulfonamides,stevens-johnson syndrome
lithium,diabetes insipidus
lithium,lithium toxicity
lithium,nephrogenic diabetes insipidus
lithium,polyuria
g-csf,systemic capillary leak syndrome
granulocyte colony-stimulating factor,systemic capillary leak syndrome
granulocyte colony-stimulating factor,cls
fk506,neurologic abnormalities
fk506,speech loss
fk506,mutism
tacrolimus,mutism
insulin,oedema
insulin,ascites
insulin,peripheral oedema
insulin,pleural effusion
insulin,severe anasarca
insulin,hyperinsulinaemia
insulin,insulin insensitivity
insulin,anti-natriuresis
insulin,hypoalbuminaemia
insulin,increased vascular permeability
prednisolone,diabetic milieu deteriorated
methotrexate,acute cerebellar syndrome
doxycycline,angioimmunoblastic lymphadenopathy with dysproteinemia
doxycycline,aild
doxycycline,fever
doxycycline,generalized pruritic maculopapular eruption
isoniazid,anaphylaxis
magnesium sulfate,low plasma parathyroid hormone
magnesium sulfate,pth
magnesium sulfate,severe hypocalcemia
carbamazepine,hyponatremia
5-asa,polyneuropathy
5-aminosalicylic acid,sensorimotor polyneuropathy
5-asa,sensorimotor polyneuropathy
5-aminosalicylic acid,atrophy
5-asa,atrophy
5-aminosalicylic acid,gait disturbance
5-asa,gait disturbance
5-aminosalicylic acid,weakness
5-asa,weakness
5-aminosalicylic acid,worsening of the dysesthesia
5-asa,worsening of the dysesthesia
prednisone,disseminated cellulitic cryptococcosis
sasp,atypical lymphocytosis
sasp,high fever
sasp,liver dysfunction
sasp,skin rash
salazosulfapyridine,infectious mononucleosis-like syndrome
sasp,infectious mononucleosis-like syndrome
infliximab,lupus-like syndrome
methotrexate,lupus-like syndrome
infliximab,lupus-like clinical syndrome
ifnalpha,renal dysfunction
interferon alpha,renal dysfunction
ifnalpha,renal abnormalities
interferon-alpha,focal segmental glomerulosclerosis
ifnalpha,focal segmental glomerulosclerosis
rituximab,autoimmune hemolytic anemia
rituximab,destruction of cd20 positive cells
rituximab,massive cytokines liberation
hepatitis b vaccination,acute transverse myelitis
hepatitis b vaccination,acute onset tetraparesia
diphenhydramine,cardiotoxicity
diphenhydramine,dysrhythmia
diphenhydramine,cardiac toxicity
cyclophosphamide,systemic candidiasis
prednisolone,stevens-johnson syndrome
prednisolone,sjs
dapsone,reversal reaction
rifampin,reversal reaction
thalidomide,neuropathic side effects
interferon alpha,neurological manifestations
recombinant interferon alpha-2a,bilateral optic neuritis
recombinant interferon alpha-2a,decreased sensation of vibration
recombinant interferon alpha-2a,increased deep tendon reflex
recombinant interferon alpha-2b,bilateral optic neuritis
recombinant interferon alpha-2b,bowel and bladder dysfunction
recombinant interferon alpha-2b,numbness of the lower extremities
interferon alpha,neurological signs
interferon alpha,optic neuritis
alpha interferon,multiple sclerosis-like disease
interferon alpha,bilateral optic neuritis
tamoxifen,acute abdomen
tamoxifen,endometriosis
dapsone,agranulocytosis
dapsone,fatal agranulocytosis
heparin,massive pulmonary embolism
levetiracetam,acute psychosis
levetiracetam,psychotic behavior
risperidone,obsessive-compulsive symptoms
granulocyte macrophage-colony-stimulating factor,proliferation of abnormal bone marrow histiocytes
rosiglitazone,heart failure exacerbation
enoxaparin,generalized exanthem
enoxaparin,generalized maculopapular rash
clonazepam,aggression
clonazepam,agitation
clonazepam,hyperactivity
clonazepam,irritability
clonazepam,property destruction
clonazepam,temper tantrums
clonazepam,behavioral exacerbation
cefuroxime,immune hemolysis
cefuroxime,iha
argatroban,bleeding
argatroban,hepatic failure
argatroban,hepatic and renal failure
fluvoxamine,schneiderian first-rank symptoms
fluvoxamine,first-rank symptoms
clozapine,eps
interferon-alpha,hyperpigmentation
ifn,skin lesions
interferon-alpha,skin lesions
ifn,hyperpigmented skin
ribavirin,hyperpigmented skin
ifn,tongue lesions
ribavirin,tongue lesions
ciprofloxacin,thrombocytosis
piperacillin,thrombocytosis
tazobactam,thrombocytosis
ciprofloxacin,thrombocyte count started to increase
piperacillin,thrombocyte count started to increase
tazobactam,thrombocyte count started to increase
chymopapain,anaphylaxis
chymopapain,hypotensive
lithium,lethargy
carbamazepine,fever
cbz,fever
tegretol,fever
carbamazepine,leukopenia
cbz,leukopenia
tegretol,leukopenia
carbamazepine,positive anti-nuclear antibody
cbz,positive anti-nuclear antibody
tegretol,positive anti-nuclear antibody
carbamazepine,rash
cbz,rash
tegretol,rash
carbamazepine,systemic lupus erythematosus (sle)-like symptoms
cbz,systemic lupus erythematosus (sle)-like symptoms
tegretol,systemic lupus erythematosus (sle)-like symptoms
carbamazepine,systemic lupus erythematosus-like disease
cbz,sle
rh,bilateral gynaecomastia
isoniazid,gynaecomastia
isoniazid,bilateral gynaecomastia
heparin,acute renal failure
heparin,hat
heparin,recurrent arteriothromboses
clexane,platelet activation
fragmin,platelet activation
fraxiparin,platelet activation
heparin,platelet activation
labetalol,hemodynamic collapse
bromocriptine,pleuropulmonary abnormalities
cabergoline,pleuropulmonary abnormalities
cabergoline,pleuropulmonary changes
methylprednisolone,acute myopathy
vecuronium,acute myopathy
methylprednisolone,degeneration of myosin filaments
vecuronium,degeneration of myosin filaments
vecuronium,flaccid quadriparesis
vecuronium,respiratory failure
sulfasalazine,diffuse pulmonary shadowing
sulfasalazine,skin pigmentation
sulfasalazine,pulmonary infiltrates
sulfasalazine,lung disorder
sulfasalazine,ulcerative colitis
isotretinoin,sclerotic changes of lumbar spine and femur
bleomycin,scleroderma
bleomycin,cutaneous scleroderma
adrenaline,dilated cardiomyopathy
carbamazepine,sle
carbamazepine,systemic lupus erythematosus
13-cis-retinoic acid,acne fulminans
valproic acid,coma
carbamazepine,asterixis
cbz,asterixis
clozapine,asterixis
lithium,asterixis
cbz,neurotoxicity
clozapine,neurotoxicity
alum,encephalopathy
alum,seizures
cyclophosphamide,hemorrhagic cystitis
alum,elevated aluminum levels
desmopressin,hyponatremia
desmopressin,seizure
desmopressin,grand mal seizure
tegretol,siadh
norethisterone,gestational diabetes
norethisterone,diabetes mellitus
norethisterone,impaired glucose tolerance
norethisterone,clitoral hypertrophy
norethisterone,masculinization of a female fetus
ifn,chf
recombinant alpha-interferon,congestive heart failure
ifn,congestive heart failure
cyclophosphamide,neutrophilic eccrine hidradenitis
cyclophosphamide,neh
ganciclovir,generalised cutaneous rash
ganciclovir,skin rash
ganciclovir,splinter hemorrhages
betamethasone,acute pancreatitis
roxithromycin,acute pancreatitis
fk506,renal tubular acidosis
fk506,nephrotoxicity
fk506,rta
l-dopa,unintended sleep episodes
l-dopa,daytime sleepiness
l-dopa,daytime somnolence
methotrexate,neurotoxicity
methotrexate,cytotoxic edema
methotrexate,aphasia
methotrexate,left arm weakness
lithium,epstein's anomaly
lithium,teratogenicity
glyburide,hypoglycemia
ethambutol,ocular ethambutol toxicity
ethambutol,optic neuropathy
ethambutol,ethambutol toxicity
ethambutol,vision loss
ethambutol,bilateral optic neuropathy
brompheniramine,fatality
dextromethorphan,fatality
pseudoephedrine,fatality
acenocoumarol,overanticoagulation
budesonide,angioedema
budesonide,dysphagia
budefat,dysphagia
budefat,sore throat
budesonide,sore throat
budefat,swelling of the lips and oral cavity
budesonide,swelling of the lips and oral cavity
dexamethasone,infectious toxicity
dexamethasone,infectious complications
dexamethasone,infectious toxicities
cytarabine,neh
mitoxantrone,neh
infliximab,lupus
infliximab,anti-double-stranded dna
infliximab,antinuclear antibodies
infliximab,increase of autoantibodies
yohimbine,severe raynaud's phenomenon
yohimbine,worsening of raynaud's phenomenon
vitamin d3,serum level of calcium and urinary excretion of calcium increased
"1,24(oh)2d3",hypercalcemia
thiazide,hypercalcemia
vitamin d3,hypercalcemia
tacalcitol,hypercalcemia
tacalcitol,hypercalciuria
thiazide,hypercalciuria
2-cda,immunodeficiency
2-cda,secondary neoplasms
2-chloro-deoxyadenosine,non-hodgkin's lymphoma
2-cda,transformation of mcd to nhl
dgtx,cardiac dgtx toxicity
dgtx,total av-block
phenytoin,skin lesions
phenytoin,erythema multiforme
cya,rsds
tacrolimus,rsds
tacrolimus,reflex sympathetic dystrophy syndrome
topiramate,acute myopia
topiramate,angle-closure glaucoma
topiramate,anterior chamber shallowing
topiramate,ciliochoroidal effusion
topiramate,displacement of the lens-iris diaphragm
topiramate,acute-onset myopia
topiramate,angle closure glaucoma
doxycycline,photo-onycholysis
minocycline,cutaneous hyperpigmentation
minocycline,pigmentary disorders
minocycline,hyperpigmentation
minocycline,cutaneous pigmentation
ciprofloxacin,toxic epidermal necrolysis
ciprofloxacin,ten
amifostine,fever
amifostine,fevers of neutropenia
amifostine,sepsis
pantoprazole,acute interstitial nephritis
pantoprazole,general malaise
pantoprazole,ain
omeprazole,ain
finasteride,anterior subcapsular opacity on the lens
propecia,bilateral cataract
propecia,cataract
interferon beta-1a,scleromyxedema
methylphenidate,fixed drug eruption of the scrotum
methylphenidate,fixed drug rash
methylphenidate,fixed drug eruption
methotrexate,pneumonitis
warfarin,haemorrhagic side-effects
warfarin,acute dissecting thoracic aortic aneurysm
warfarin,thoracic aortic dissection
ramipril,cutaneous vasculitis
doxorubicin,severe myelopathy
doxorubicin,toxic myelopathy
infliximab,increase in the number of apneic events
infliximab,sao2 dips
infliximab,sleep disordered breathing
kayexalate,hypernatraemia
sodium polystyrene sulphonate,hypernatraemia
quinacrine,bull's-eye maculopathy
chloroquine,maculopathy
quinacrine,severe maculopathy
quinacrine,bilaterally symmetric bull's-eye maculopathy
hydroxychloroquine,maculopathy
phenylpropanolamine,cerebral infarcts
phenylpropanolamine,neurologic events
ppa,neurologic events
phenylpropanolamine,stroke
ppa,stroke
ppa,extremely elevated levels of ppa
ppa,occipital infarcts
ciprofloxacin,hallucinations
ciprofloxacin,mild headache
ciprofloxacin,minor dizziness
ciprofloxacin,seizures
ciprofloxacin,psychosis
ciprofloxacin,severe psychosis
vancomycin,agranulocytosis
dexamethasone,osteonecrosis
colchicine,peyronie's disease
colchicine,pd
nitrofurantoin,cholestatic hepatitis
furazolidone,jaundice
nifuroxime,jaundice
phenobarbital,exacerbation of a preexisting maladaptive behavior
phenobarbital,maladaptive behaviors
phenobarbital,behavioral side effects
phenobarbital,exacerbation of preexisting maladaptive behaviors
pilocarpine,pilocarpine toxicity
pilocarpine,bradycardia
pilocarpine,mild hypotension
pilocarpine,muscarinic symptoms
belladonna,anticonvulsant hypersensitivity syndrome
ergotamine,anticonvulsant hypersensitivity syndrome
phenobarbital,anticonvulsant hypersensitivity syndrome
bellamine s,anticonvulsant hypersensitivity syndrome
belladonna alkaloids,anticonvulsant hypersensitivity syndrome
clozapine,heatstroke
clozapine,heat stroke
gemcitabine,radiation recall
gemcitabine,myositis
gemcitabine,radiation recall reactions
bimatoprost,cystoid macular edema
latanoprost,cystoid macular edema
bimatoprost,cystoid macula edema
latanoprost,cystoid macula edema
bimatoprost,intense conjunctival hyperemia
latanoprost,intense conjunctival hyperemia
oxaliplatin,hemolytic reaction
oxaliplatin,dat-positive hemolytic episode
methotrexate,fatal acute neurotoxicity
methotrexate,fatal acute encephalomyelitis
methotrexate,severe back pain
methotrexate,urinary retention
methotrexate,fatal encephalopathy
methotrexate,mild neurotoxicity
ampicillin,ten
heparin,large intramural esophageal hematoma
dimethyl sulfoxide,eosinophilic cystitis
dmso,eosinophilic cystitis
pegylated interferon alpha,acute dystonia
ifn-alpha,akathisia
ifn-alpha,depressive disorders
ifn-alpha,neuropsychiatric symptoms
ifn-alpha,parkinsonism
ifn-alpha,seizure
ifn alpha,restless legs symptoms
interferon-alpha,restless legs symptoms
interferon-alpha,restless legs syndrome
ifn alpha,restless legs syndrome
naltrexone,hepatotoxicity
ntx,hepatotoxicity
naltrexone,acute hepatitis b and c
sargramostim,sweet's syndrome
filgrastim,acute febrile neutrophilic dermatosis
filgrastim,sweet's syndrome
clozapine,hypersensitivity myocarditis
clozapine,sudden cardiac death
clozapine,sudden death
phenytoin,purple discoloration
phenytoin,purple glove syndrome
phenytoin,swelling of the hands
phenytoin,soft-tissue injury
levodopa,completely bald
prostaglandin,trichiasis
prostaglandin,increased lash length
prostaglandin,pigmentation
bcnu,fatal pulmonary fibrosis
bcnu,pulmonary fibrosis
bis-chloronitrosourea,pulmonary fibrosis
bcnu,severe pulmonary fibrosis
dorzolamide,choroidal detachment
bimatoprost,deepening of lid sulcus
bimatoprost,alteration of eyelid appearance
bimatoprost,deepening of the lid sulcus
hepatitis b vaccination,lichen planus
sulfadoxine-pyrimethamine,life-threatening hypoglycaemia
sp,hypoglycaemic coma
heparin,fatal intracerebral haemorrhage
infliximab,extensive forearm deep venous thrombosis
infliximab,iir
infliximab,severe infliximab infusion reaction
infliximab,severe swelling of the forearm and hand ipsilateral
infliximab,hypersensitivity
infliximab,venous thrombosis
indapamide,diabetes
indapamide,glucose tolerance impairing
indapamide,impairing carbohydrate metabolism
fosinopril,diabetes
imatinib mesylate,"discrepancies between hematologic, marrow morphologic, and cytogenetic responses"
imatinib,blast crisis
imatinib,progression of marrow reticulin fibrosis
imatinib mesylate,blast crisis
nimodipine,hypotension
nimodipine,hypoxemia
nimodipine,prolonged hypotension
ciprofloxacin,refractory hypoglycemia
glyburide,refractory hypoglycemia
ciprofloxacin,prolonged hypoglycemia
glyburide,prolonged hypoglycemia
aminophylline,aminophylline hypersensitivity
ethylenediamine,aminophylline hypersensitivity
aminophylline,delayed hypersensitivity reaction
ethylenediamine,delayed hypersensitivity reaction
l-asparaginase,lethal complication
l-asparaginase,pancreatitis
l-asparaginase,severe necrotizing pancreatitis
l-asparaginase,necrotizing pancreatitis
disulfiram,fulminant hepatic failure
tiagabine,unusual array of neurological symptoms
linezolid,sideroblastic anemia
linezolid,hematologic side effects
prostaglandin e1,harlequin color change
ciprofloxacin,acute renal insufficiency
ciprofloxacin,renal insufficiency
ciprofloxacin,nephrotoxicity
infliximab,necrotizing vasculitis
infliximab,sensory neuropathy
infliximab,peripheral neuropathy
infliximab,progression of preexisting mononeuritis multiplex
interferon-alpha,progressive anemia
interleukin-2,progressive anemia
ifn-alpha,severe anemia
il-2,severe anemia
warfarin,clotting abnormality
warfarin,abnormal hypersensitivity
warfarin,bleeding symptoms
warfarin,fatal haemorrhage
warfarin,hypersensitivity
cidofovir,cmv infection
foscarnet,cmv infection
ganciclovir,cmv infection
5-fluorouracil,peripheral neuropathy
5-fu,peripheral neuropathy
cap,peripheral neuropathy
cap,neurotoxicity
cap,neurologic symptoms
cap-xrt,foot drop
cap-xrt,right leg weakness
cap,perioral and upper extremity paresthesias
capecitabine,peripheral neuropathy
rosiglitazone,severe hypo-alpha-lipoproteinemia
rosiglitazone,reduction in plasma hdl cholesterol and apolipoprotein ai levels
nevirapine,mild hepatotoxicity
nevirapine,severe leukopenia
nevirapine,leukopenia
nevirapine,skin and hepatic toxicity
quetiapine,death
quetiapine,deaths
quetiapine,suicidal overdose deaths
sertraline,intense itching sensation
fluoxetine,itch
sertraline,itch
fluoxetine,skin rash
sertraline,skin rash
etanercept,pulmonary lymphohistiocytic reactions
etanercept,pulmonary signs and symptoms with alveolar infiltrates
flupirtine,paradoxical cerebral cortical hyperexcitability
flupirtine,increased cerebral cortical excitability
pegylated interferon alpha-2a,celiac disease
ribavirin,celiac disease
pegylated interferon,celiac disease
pegylated interferon alpha-2a,anemia
ribavirin,anemia
pegylated interferon alpha-2a,progressive malaise
ribavirin,progressive malaise
metaraminol,anaphylaxis
glatiramer acetate,localized panniculitis
glatiramer acetate,subcutaneous changes
copaxone,lipoatrophy
glatiramer acetate,lipoatrophy
copaxone,localized panniculitis
verapamil,exacerbation in myasthenic weakness
busulfan,hepatic veno-occlusive disease
busulfan,hvod
busulfan,thrombosis
busulfan,pvt
interferon,vogt-koyanagi-harada disease
interferon alpha,vogt-koyanagi-harada disease
interferon,"""cotton-wool"" spots"
interferon,retinal abnormalities
interferon,retinal hemorrhage
propylthiouracil,acute hepatic failure
ptu,acute hepatic failure
ptu,fulminant hepatitis
methotrexate,epstein-barr virus-associated lymphoproliferative disorder
rofecoxib,epstein-barr virus-associated lymphoproliferative disorder
methotrexate,epstein-barr virus (ebv)-associated polyclonal b cell lymphoproliferative disorder
mtx,epstein-barr virus (ebv)-associated polyclonal b cell lymphoproliferative disorder
mtx,acute renal failure
mtx,diarrhea
mtx,elevated liver transaminases
mtx,jaundice
mtx,mucosal ulcerations
mtx,pancytopenia
mtx,pyrexia
mtx,vomiting
mtx,ebv-associated lymphoproliferative disease
mtx,hematopoietic toxicity
mtx,immunosuppression
imiquimod,aggravation and spreading of a psoriatic plaque
imiquimod,psoriasis
imiquimod,large amounts of type i interferon production
imiquimod,exacerbation of psoriasis
methylprednisolone,vision declined
aza,allergic skin eruptions
aza,allergy
azathioprine,drug eruption
aza,drug eruption
ziprasidone,tardive dyskinesia
ziprasidone,td
ziprasidone,extrapyramidal symptoms
carbamazepine,asthenozoospermia
carbamazepine,no motile sperm
retinoic acid,scrotal ulceration
atra,ulcer
atra,scrotal ulcer
clozapine,tonic-clonic seizures
clozapine,seizures
rofecoxib,colitis
rofecoxib,lower gastrointestinal symptoms
rofecoxib,ibd
rofecoxib,inflammatory bowel disease
carbamazepine,carbamazepine intoxication
dantrolene,carbamazepine intoxication
oxybutynin,carbamazepine intoxication
dantrolene,carbamazepine toxicity
oxybutynin,carbamazepine toxicity
captopril,pemphigus
thalidomide,neuropathy
thalidomide,proximal weakness
thalidomide,teratogenic effects
thalidomide,sensorimotor axonal neuropathy
gliadel,cerebral edema
carmustine,cerebral edema
cis-retinoic acid,bmtn
ra,bmtn
ra,deterioration in renal function
retinoic acid,bone marrow transplant nephropathy
imiquimod,secondary infection
quetiapine,myoclonic jerks
quetiapine,myoclonus
temozolomide,myelodysplastic syndrome
temozolomide,refractory anemia with excess blasts
tmz,refractory anemia with excess blasts
penicillin,neutropenia
interferon alpha,livedo reticularis
interferon alpha 2b,livedo reticularis
ptu,anca-associated vasculitis
ptu,ototoxicity
propylthiouracil,antineutrophil cytoplasmic antibody (anca)-associated vasculitis
ptu,antineutrophil cytoplasmic antibody (anca)-associated vasculitis
propylthiouracil,ototoxicity
propylthiouracil,antineutrophil cytoplasmic antibodies
propylthiouracil,sensorineural hearing loss
ptu,hearing impairment in the left ear (with progression to the right ear)
ptu,tinnitus
ptu,vertigo
ptu,hearing impairment
ethambutol,optic neuritis
ethambutol,visual loss
flucloxacillin,aplastic anaemia
flucloxacillin,liver failure
flucloxacillin,fatal hepatic injury
flucloxacillin,fulminant hepatic failure
zoledronic acid,bronchospasm
zoledronic acid,carpopedal spasm
zoledronic acid,severe hypocalcaemia
cy,severe lupus erythematosus
cyclophosphamide,severe lupus erythematosus
tacrolimus,mucosal pigmentation
tacrolimus,pigmentation
tacrolimus,oral mucosa pigmentation
methotrexate,malignant lymphoma
mtx,malignant lymphoma
risperidone,tardive dyskinesia
risperidone,td
risperidone,respiratory dyskinesia
risperidone,limb dyskinesia
risperidone,orofacial dyskinesia
risperidone,rd
sda,rd
btx-b,parasympathetic dysfunction of the visual system
btx-b,visual disturbances
botulinum toxin type b,parasympathetic dysfunction
botulinum toxin type b,visual system side effects
enalapril,anemia
cerivastatin,muscle pain
cerivastatin,muscle weakness
cerivastatin,rhabdomyolysis
cerivastatin,acute rhabdomyolysis
paclitaxel,hypersensitivity
cbdca,apnea
cbdca,cardiac arrest
cbdca,eruptions
cbdca,hypotension
cbdca,severe hypersensitivity reactions
cbdca,tachycardia
cbdca,hypersensitivity
cyclosporine,cholestasis
fentanyl,adrenocortical insufficiency
fluphenazine,neuroleptic malignant syndrome
fluphenazine,nms
vancomycin,cerebrospinal fluid eosinophilia
vancomycin,csfe
bicalutamide,interstitial pneumonitis
leuprorelin acetate,interstitial pneumonitis
rifabutin,corneal endothelial deposits
raloxifene,malignant mixed mesodermal tumor
raloxifene,malignant mixed mullerian tumor of the uterus
mmf,neutropenia
mycophenolate mofetil,neutropenia
mmf,bone marrow toxicity
anti-d igiv,acute hemoglobinemia
anti-d igiv,hemoglobinuria
rh(0)(d) immune globulin,acute hemoglobinemia
rh(0)(d) immune globulin,disseminated intravascular coagulation
rh(0)(d) immune globulin,hemoglobinuria
anti-d igiv,dic
anti-d igiv,disseminated intravascular coagulation
anti-d igiv,hemoglobinemia
infliximab,severe transient neutropenia
infliximab,agranulocytosis
infliximab,autoimmune agranulocytosis
infliximab,production of granulocyte and neutrophil autoantibodies
linezolid,bone marrow depression
linezolid,neuropathy
linezolid,peripheral neuropathy
tamoxifen,high-grade endometrial stromal sarcoma
tamoxifen,intrauterine polypoid growth
tamoxifen,endometrial adenocarcinoma
tamoxifen,uterine sarcoma
pentamidine,heart rate had decreased
pentamidine,cardiotoxicity
pentamidine,second-degree heart block
pentamidine,sinus bradycardia
bupropion,falling backward
vigabatrin,ophthalmologic and neurologic findings
vgb,visual dysfunction
vigabatrin,visual field defects
vgb,ophthalmic and neurologic findings
ifn,cotton wool spots
interferon,cotton wool spots
ifn,retinal hemorrhages
interferon,retinal hemorrhages
ifn,retinopathy
interferon,retinopathy
interferon,macular edema
ifn,decreased vision
ifn,macular edema
ifn,hypoalbuminemia
ifn,ocular side effects
ifn,thrombocytopenia
ifn,visual acuity had decreased
ifn,reduced visual acuity
interferon-alfa,diabetes mellitus
ribavirin,diabetes mellitus
alfa-interferon,immune-mediated diabetes mellitus
interferon alfa,cutaneous necrosis
pegylated interferon alfa-2b,local cutaneous reactions
ribavirin,local cutaneous reactions
pegylated interferon alfa-2b,cutaneous necrosis
tegaserod,ischemic colitis
tegaserod,irritable bowel syndrome
lansoprazole,"chronic, watery diarrhea"
lansoprazole,collagenous colitis
interferon beta-1b,painful ulcers
interferon beta-1b,reticulate erythema
recombinant human interferon-beta-1b,abdominal wall ulceration
recombinant human interferon-beta-1b,mucinosis
itraconazole,vincristine neurotoxicity
itraconazole,neurotoxicity
vincristine,neurotoxicity
itraconazole,absence of deep reflexes
itraconazole,mild left ptosis
itraconazole,mild weakness of the upper extremities
itraconazole,neurogenic bladder
itraconazole,paralytic ileus
itraconazole,severe paralysis of the lower extremities
itraconazole,fatal toxicities
vincristine,fatal toxicities
pseudoephedrine,intracerebral hemorrhage
phenylpropanolamine,intracerebral hemorrhage
pseudoephedrine,cerebral vascular malformation
pseudoephedrine,hemorrhage
quetiapine,diabetic ketoacidosis
quetiapine,dka
quetiapine,dm
all-trans retinoic acid,pulmonary leukostasis
imiquimod,eruptive epidermoid cysts
imiquimod,verrucous plaque
imiquimod,multiple comedones
imiquimod,ruptured epidermoid cysts
fluoxetine,neurological and cardiovascular toxicity
iron sucrose,hepatocellular damage
iron sucrose,systemic iron toxicity
clioquinol,acute amnestic episode
clioquinol,retrograde amnesia
clioquinol,transient global amnesia
sodium hyaluronate,neisseria mucosa knee arthritis
corticosteroids,staphylococcus aureus knee arthritis
sodium hyaluronate,staphylococcus aureus knee arthritis
hyaluronate,septic knee arthritis
lamivudine,acute dystonia
lamivudine,adr
lamivudine,acute dystonic reactions
lamivudine,adrs
pergolide,pleuropulmonary fibrosis
risperidone,psychiatric and physical manifestations
risperidone,increased mood symptoms
risperidone,depression
risperidone,psychosis
busulfan,fatal radiation myelopathy
melphalan,fatal radiation myelopathy
gemcitabine,pericardial effusion
gemcitabine,tamponade
gemcitabine,radiation recall reaction
mm,cns lymphoma
mm,lymphoproliferative disorders
mycophenolate mofetil,cns lymphoma
baclofen,fever
baclofen,withdrawal syndrome
baclofen,autonomic instability
captopril,eosinophilia
captopril,radiographic abnormalities
captopril,pulmonary infiltrates with eosinophilia
propofol,pancreatitis
propofol,acute pancreatitis
lithium,focal seizure
lithium,prolonged seizure
lithium,serotonin syndrome
rituximab,cd20-negative t-cell-rich b-cell lymphoma
rituximab,cd20-negative tumors
irbesartan,angio-oedema
irbesartan,hypotensive shock
irbesartan,shock
desferrioxamine,congestive heart failure
desferrioxamine,haemosiderosis
desferrioxamine,liver failure
desferrioxamine,transfusion haemosiderosis
triamcinolone,cataract
triamcinolone,severe loss of vision
ritodrine hydrochloride,rhabdomyolysis
ritodrine-hydrochloride,rhabdomyolysis
epinephrine,acute myocardial ischemia
epinephrine,lethal complications
epinephrine,severe allergic reaction
levodopa,restless legs syndrome
levodopa,augmentation
levodopa,anarchic discharges of motor unit potentials
levodopa,flexor spasms
levodopa,marked motor hyperactivity
levodopa,painful dysesthesia
levodopa,tonic grouped discharges
infliximab,infection
infliximab,membranous nephropathy
linezolid,dyserythropoiesis
linezolid,dyserythropoietic anaemia
chloramphenicol,myelotoxicity
fluoxetine,eye movements in nonrapid eye movement (nrem) sleep
fluoxetine,rbd
fluoxetine,prominent eye movements during nrem sleep
fluoxetine,rem sleep behavior disorder
dofetilide,increase in the qt interval
dofetilide,torsades de pointes
dofetilide,acute ischemia
dofetilide,marked qt prolongation
dofetilide,acute myocardial ischemia
dofetilide,flash pulmonary edema
dofetilide,qt prolongation
phenylephrine,positive u waves
srl,hepatoxicity
sirolimus,hepatotoxicity
interferon beta 1a,nephrotic syndrome
interferon,nephrosis
interferons,renal toxicity
capecitabine,multifocal leukoencephalopathy
venlafaxine,ui
venlafaxine,urinary incontinence
alpha interferon,hypothyroidism
recombinant alpha interferon,sustained hypothyroidism
recombinant alpha interferon,thyroid dysfunction
recombinant alpha interferon,hypothyroidism
vardenafil,atrial fibrillation
vardenafil,symptomatic paroxysmal atrial fibrillation
infliximab,mycobacterium abscessus
interferon alpha-2b,cardiomyopathy
interferon alpha,reversible cardiomyopathy
senna,liver injury
senna,subacute cholestatic hepatitis
senna,cholestatic hepatitis
insulin,lipohypertrophy
azathioprine,diabetes mellitus
prednisone,diabetes mellitus
azathioprine,exocrine pancreatic insufficiency
prednisone,exocrine pancreatic insufficiency
penicillin,jhr
penicillin g,jhr
penicillin,jarisch-herxheimer reaction
penicillin,chills
penicillin,feeling cold
penicillin,worsening headache
rituximab,acute respiratory distress syndrome
gemtuzumab ozogamicin,ards
infliximab,ards
okt3,ards
rituximab,ards
rituximab,severe pulmonary symptoms
rituximab,dyspnea
rituximab,hypoxemia
rituximab,pleuritic chest pain
rituximab,progressive hypoxemia
bisphosphonate,renal impairment
bisphosphonate,symptomatic hypocalcaemia
bisphosphonate,severe hypocalcaemia
gemcitabine,gastrointestinal bleeding
gemcitabine,radiation-recall
methotrexate,acute renal failure
methotrexate,nephropathy
calcium hydroxylapatite,prolapse of the urethral mucosa
calcium hydroxylapatite,granulomatous reaction
calcium hydroxylapatite,urethral prolapse
furosemide,pancreatitis
torsemide,pancreatitis
heparin,massive thrombosis of the inferior vena cava
heparin,ivc thrombosis
heparin,thrombosis syndrome
heparin,thrombosis
prostaglandin e1,gastric-outlet obstruction
prostaglandin e1,antral hyperplasia
cisplatin,rpls
cyclosporine,rpls
interferon-alpha,rpls
tacrolimus,rpls
cyclosporine,reversible posterior leukoencephalopathy syndrome
cyclosporine,headache
cyclosporine,seizure
cyclosporine,severe perspiration
lopinavir,mania
ritonavir,mania
valproic acid,mania
vpa,mania
lopinavir,bipolar disorder
ritonavir,bipolar disorder
valproic acid,bipolar disorder
triamcinolone acetonide,cataract
interferon-beta,arthritis
interferon-beta,bursitis
ifn-beta,inflammatory arthritis
ifn-beta,monoarthritis
ifn-beta,autoimmune disorders
ifn-beta,autoimmune thyroid disease
ifn-beta,refractory pre-patellar bursitis
ifn-beta,inflammatory musculoskeletal manifestations
trimethoprim-sulfamethoxazole,aseptic meningitis
smx,meningitis
sulfamethoxazole,meningitis
tmp,meningitis
trimethoprim,meningitis
smx,aseptic meningitis
tmp,aseptic meningitis
corticosteroid,disseminated nocardiosis
chloroquine,bilateral ptosis
chloroquine,ptosis
mtx,central neurological syndrome
methotrexate,stroke-like leukoencephalopathy
mtx,stroke-like leukoencephalopathy
mtx,subacute neurotoxicity
lithium,ards
l-dopa,dyskinesias
levodopa,dyskinesia
triazolam,eating disorder
triazolam,amnesia
triazolam,nocturnal bingeing
